Threads,Array Size,Chunk Size,Schedule,MegaMults/sec
1,32768,1,static,339.13
1,32768,4096,static,342.7
1,32768,1,dynamic,340.6
1,32768,4096,dynamic,340.84
2,32768,1,static,712.09
2,32768,4096,static,630.99
2,32768,1,dynamic,708.78
2,32768,4096,dynamic,619.28
4,32768,1,static,1101.46
4,32768,4096,static,873.43
4,32768,1,dynamic,1147.17
4,32768,4096,dynamic,779.18
6,32768,1,static,938.82
6,32768,4096,static,914.44
6,32768,1,dynamic,1119.67
6,32768,4096,dynamic,888.36
8,32768,1,static,1054.63
8,32768,4096,static,914.4
8,32768,1,dynamic,1076.04
8,32768,4096,dynamic,944.37
10,32768,1,static,1079.83
10,32768,4096,static,917.85
10,32768,1,dynamic,1088.46
10,32768,4096,dynamic,928.78
12,32768,1,static,1053.29
12,32768,4096,static,930.8
12,32768,1,dynamic,1060.31
12,32768,4096,dynamic,927.5
14,32768,1,static,1063.53
14,32768,4096,static,944.71
14,32768,1,dynamic,1068.1
14,32768,4096,dynamic,904.83
16,32768,1,static,1044.83
16,32768,4096,static,936.13
16,32768,1,dynamic,1045.91
16,32768,4096,dynamic,932.87
