Threads,NumPad,Fix 2,MegaAdds/sec
1,0,0,139.94
1,1,0,138.22
1,2,0,131.44
1,3,0,135.30
1,4,0,133.42
1,5,0,129.48
1,6,0,137.90
1,7,0,136.15
1,8,0,136.66
1,9,0,136.65
1,10,0,133.75
1,11,0,137.53
1,12,0,137.47
1,13,0,138.64
1,14,0,139.08
1,15,0,140.08
1,16,0,138.94
1,17,0,136.63
1,18,0,134.83
1,19,0,138.73
1,20,0,137.83
1,21,0,136.44
1,22,0,139.97
1,23,0,138.65
1,24,0,135.65
1,25,0,138.09
1,26,0,136.39
1,27,0,137.97
1,28,0,138.85
1,29,0,139.45
1,30,0,138.80
1,31,0,140.29
2,0,0,89.73
2,1,0,85.50
2,2,0,82.27
2,3,0,105.99
2,4,0,106.77
2,5,0,107.66
2,6,0,105.76
2,7,0,149.73
2,8,0,147.63
2,9,0,148.58
2,10,0,145.05
2,11,0,156.99
2,12,0,278.73
2,13,0,271.79
2,14,0,278.99
2,15,0,270.50
2,16,0,278.65
2,17,0,279.38
2,18,0,272.95
2,19,0,280.26
2,20,0,275.23
2,21,0,270.98
2,22,0,281.27
2,23,0,275.72
2,24,0,268.63
2,25,0,277.80
2,26,0,273.48
2,27,0,280.14
2,28,0,283.20
2,29,0,282.14
2,30,0,280.12
2,31,0,284.97
4,0,0,72.61
4,1,0,72.19
4,2,0,73.53
4,3,0,79.47
4,4,0,90.24
4,5,0,90.83
4,6,0,117.39
4,7,0,125.96
4,8,0,125.70
4,9,0,124.82
4,10,0,125.53
4,11,0,148.16
4,12,0,210.36
4,13,0,211.50
4,14,0,233.92
4,15,0,363.66
4,16,0,346.60
4,17,0,348.65
4,18,0,345.68
4,19,0,348.09
4,20,0,330.57
4,21,0,344.15
4,22,0,365.34
4,23,0,347.95
4,24,0,341.05
4,25,0,346.23
4,26,0,344.30
4,27,0,349.63
4,28,0,367.57
4,29,0,348.89
4,30,0,345.31
4,31,0,366.68
6,0,0,72.66
6,1,0,74.82
6,2,0,72.11
6,3,0,78.12
6,4,0,88.03
6,5,0,87.51
6,6,0,117.12
6,7,0,126.18
6,8,0,124.95
6,9,0,126.22
6,10,0,126.22
6,11,0,145.18
6,12,0,213.38
6,13,0,228.87
6,14,0,230.02
6,15,0,368.41
6,16,0,351.98
6,17,0,356.25
6,18,0,346.40
6,19,0,351.05
6,20,0,337.22
6,21,0,351.57
6,22,0,375.80
6,23,0,352.56
6,24,0,346.85
6,25,0,350.50
6,26,0,348.60
6,27,0,356.28
6,28,0,376.67
6,29,0,353.56
6,30,0,356.04
6,31,0,373.73
8,0,0,72.34
8,1,0,72.26
8,2,0,71.96
8,3,0,78.39
8,4,0,90.23
8,5,0,90.93
8,6,0,117.17
8,7,0,124.05
8,8,0,121.16
8,9,0,127.26
8,10,0,127.46
8,11,0,149.94
8,12,0,223.19
8,13,0,224.93
8,14,0,234.96
8,15,0,370.77
8,16,0,350.81
8,17,0,350.20
8,18,0,348.45
8,19,0,350.31
8,20,0,337.23
8,21,0,347.03
8,22,0,374.36
8,23,0,353.82
8,24,0,349.20
8,25,0,351.16
8,26,0,351.87
8,27,0,356.18
8,28,0,374.24
8,29,0,354.16
8,30,0,353.31
8,31,0,369.03
10,0,0,72.54
10,1,0,75.42
10,2,0,74.54
10,3,0,77.97
10,4,0,88.14
10,5,0,87.77
10,6,0,116.41
10,7,0,123.71
10,8,0,122.66
10,9,0,125.81
10,10,0,124.24
10,11,0,148.77
10,12,0,214.54
10,13,0,215.14
10,14,0,236.93
10,15,0,373.57
10,16,0,355.63
10,17,0,357.48
10,18,0,346.63
10,19,0,355.06
10,20,0,337.73
10,21,0,350.84
10,22,0,374.31
10,23,0,356.54
10,24,0,353.75
10,25,0,353.41
10,26,0,350.55
10,27,0,354.18
10,28,0,374.30
10,29,0,353.45
10,30,0,356.14
10,31,0,377.73
12,0,0,72.50
12,1,0,74.85
12,2,0,74.26
12,3,0,79.87
12,4,0,87.58
12,5,0,87.54
12,6,0,117.34
12,7,0,122.65
12,8,0,124.14
12,9,0,125.48
12,10,0,124.62
12,11,0,147.75
12,12,0,215.51
12,13,0,223.31
12,14,0,241.43
12,15,0,376.42
12,16,0,354.45
12,17,0,353.78
12,18,0,350.66
12,19,0,347.89
12,20,0,335.44
12,21,0,352.06
12,22,0,375.87
12,23,0,351.27
12,24,0,352.94
12,25,0,351.93
12,26,0,347.31
12,27,0,350.40
12,28,0,370.98
12,29,0,353.50
12,30,0,353.59
12,31,0,372.96
14,0,0,72.36
14,1,0,72.08
14,2,0,74.33
14,3,0,77.86
14,4,0,88.64
14,5,0,90.10
14,6,0,117.02
14,7,0,123.99
14,8,0,124.92
14,9,0,127.25
14,10,0,128.36
14,11,0,149.01
14,12,0,221.74
14,13,0,207.26
14,14,0,234.77
14,15,0,376.49
14,16,0,356.12
14,17,0,355.89
14,18,0,350.95
14,19,0,350.08
14,20,0,335.71
14,21,0,352.79
14,22,0,375.25
14,23,0,349.50
14,24,0,350.67
14,25,0,347.17
14,26,0,351.55
14,27,0,355.52
14,28,0,377.37
14,29,0,351.10
14,30,0,353.20
14,31,0,374.62
16,0,0,72.47
16,1,0,72.21
16,2,0,71.91
16,3,0,77.60
16,4,0,90.08
16,5,0,87.75
16,6,0,117.22
16,7,0,126.56
16,8,0,122.86
16,9,0,125.54
16,10,0,127.65
16,11,0,148.59
16,12,0,207.13
16,13,0,221.00
16,14,0,236.80
16,15,0,372.28
16,16,0,353.87
16,17,0,353.76
16,18,0,350.65
16,19,0,354.83
16,20,0,336.07
16,21,0,348.86
16,22,0,373.21
16,23,0,355.06
16,24,0,350.59
16,25,0,350.12
16,26,0,351.83
16,27,0,354.90
16,28,0,373.33
16,29,0,354.65
16,30,0,355.67
16,31,0,374.08
1,0,1,140.46
2,0,1,288.77
4,0,1,476.35
6,0,1,467.38
8,0,1,477.17
10,0,1,482.94
12,0,1,485.75
14,0,1,472.24
16,0,1,476.56
