Month,    Year,      Temp,       Precip,     Height,   NumDeer 
0,2017,31.88,5.74,28,21
1,2017,45.05,10.75,32.07,22
2,2017,42.81,12.93,36.65,23
3,2017,62.05,11.39,34.41,24
4,2017,67.41,10.31,32.01,25
5,2017,77.58,5.64,29.51,26
6,2017,70.69,2.15,21.91,17
7,2017,55.87,0.06,20.45,18
8,2017,61.02,0,18.69,19
9,2017,45.37,0,19,18
10,2017,44.87,0.8,19.91,19
11,2017,39.93,4.58,23.97,20
0,2018,35.39,4.9,26.95,21
1,2018,40.41,9.86,32.84,22
2,2018,38.84,9.65,38.52,23
3,2018,57.03,10.55,36.66,24
4,2018,58.95,9.54,29.48,15
5,2018,71.97,5.92,27.98,16
6,2018,78.04,1.26,26.38,17
7,2018,59.29,0.22,24.76,18
8,2018,49.32,0,24.19,19
9,2018,39.34,0,25.22,20
10,2018,34.38,0,25.37,21
11,2018,27.2,0,23.84,22
0,2019,40.81,2.43,26.12,23
1,2019,38.73,7.51,31.22,24
2,2019,41.11,9.5,31.7,15
3,2019,52.27,8.55,31.94,16
4,2019,61.67,7.76,30.41,17
5,2019,75.14,2.51,28.71,18
6,2019,74.08,0.2,26.91,19
7,2019,65.18,0,25.02,20
8,2019,57.69,0,23.15,21
9,2019,45.48,0,23.23,22
10,2019,33.47,0,22.95,23
11,2019,31.29,0.49,22.17,22
0,2020,37.62,3.13,24.68,23
1,2020,40.56,6.05,29.2,24
2,2020,40.8,4.99,32.99,25
3,2020,52.38,6.9,32.06,26
4,2020,61.04,5.34,29.54,27
5,2020,76.75,2.36,21.84,18
6,2020,67.96,0,20.04,19
7,2020,64.2,0,18.15,20
8,2020,51.78,0,16.88,19
9,2020,45.77,0,17.09,18
10,2020,42.76,0,18.02,17
11,2020,41.32,0,19.21,18
0,2021,39.51,0,20.34,19
1,2021,52.78,2.04,19.27,20
2,2021,53.37,5.28,18.34,19
3,2021,59.04,5.47,16.62,18
4,2021,76.38,0.54,14.82,17
5,2021,76.05,0.3,13.12,16
6,2021,69.39,0,11.52,15
7,2021,73.05,0,10.02,14
8,2021,54.12,0,9.02,13
9,2021,60.28,0,7.77,12
10,2021,35.99,0,9.07,11
11,2021,44.13,0,10.45,10
0,2022,38.69,0,12.35,11
1,2022,35.61,1.77,14.6,12
2,2022,63.51,3.83,13.42,13
3,2022,64.75,1.34,12.13,14
4,2022,73.14,0,10.73,13
5,2022,80.11,0,4.43,9
6,2022,72.55,0,3.53,8
7,2022,66.98,0,2.73,7
8,2022,69.02,0,2.03,6
9,2022,52.91,0,1.98,5
10,2022,40.82,0,4.41,4
11,2022,32.79,0,5.76,5
