Abs Month,Month,    Year,      Temp,       Precip,     Height,   NumDeer ,TempC
0,0,2017,36.95,6.14,28,21,
1,1,2017,43.2,9.28,33.08,22,
2,2,2017,40.56,13.2,38.08,23,
3,3,2017,54.72,12.18,36.65,24,
4,4,2017,61.25,7.97,34.34,25,
5,5,2017,78.96,7.83,26.84,16,
6,6,2017,71.04,2.53,25.24,17,
7,7,2017,54.97,0.42,23.88,18,
8,8,2017,47.94,0,23.65,19,
9,9,2017,52.67,0.82,22.44,20,
10,10,2017,35.34,0,22.81,21,
11,11,2017,33.33,4.3,24.41,22,
12,0,2018,34.36,7.06,27.55,23,
13,1,2018,32.76,7.2,29.63,24,
14,2,2018,41.41,10.99,30,15,
15,3,2018,59.87,9.02,28.65,16,
16,4,2018,69.68,6.81,27.05,17,
17,5,2018,78.14,5.43,25.35,18,
18,6,2018,62.36,2.84,23.59,19,
19,7,2018,73.74,0,21.69,20,
20,8,2018,51.65,0,20.44,21,
21,9,2018,53.39,0,18.83,20,
22,10,2018,43.12,0,19.5,19,
23,11,2018,35.52,2.74,21.47,20,
24,0,2019,29.57,2.08,20.91,21,
25,1,2019,33.92,8.05,24.13,20,
26,2,2019,38.05,8.55,29.67,21,
27,3,2019,60,7.7,27.71,22,
28,4,2019,64.97,4.07,25.52,23,
29,5,2019,64.73,1.57,18.23,14,
30,6,2019,69.39,0,16.83,15,
31,7,2019,57.77,0,15.45,16,
32,8,2019,55.07,0,14.16,15,
33,9,2019,47.57,0,14.32,14,
34,10,2019,45.28,0,15.14,15,
35,11,2019,33.83,0,15.65,16,
36,0,2020,24.19,0.48,14.32,15,
37,1,2020,45.54,6.04,17.85,14,
38,2,2020,42.44,5.72,22.73,15,
39,3,2020,57.43,7.85,21.59,16,
40,4,2020,68.46,5.02,19.99,17,
41,5,2020,75.2,2.3,13.29,8,
42,6,2020,69.03,0,12.5,9,
43,7,2020,65.53,0,11.6,10,
44,8,2020,49.65,0,11.76,11,
45,9,2020,38,0,13.49,12,
46,10,2020,42.11,0,15.1,13,
47,11,2020,32.84,0,15.56,14,
48,0,2021,36.6,2.3,18.1,15,
49,1,2021,26.83,3.76,17.56,16,
50,2,2021,46.27,4.8,15.08,7,
51,3,2021,49.65,5.98,17.06,8,
52,4,2021,61.75,3.58,16.31,9,
53,5,2021,73.34,0,15.41,10,
54,6,2021,71.26,0,14.41,11,
55,7,2021,71.38,0,13.31,12,
56,8,2021,60.47,0,12.16,13,
57,9,2021,41.86,0,13.7,12,
58,10,2021,40.36,0,15.44,13,
59,11,2021,26.55,0,14.62,14,
60,0,2022,23.16,0,13.39,15,
61,1,2022,36.04,1.29,15.09,14,
62,2,2022,43.39,1.96,17.43,15,
63,3,2022,55.91,3.01,16.32,16,
64,4,2022,63.08,1.82,14.74,17,
65,5,2022,60.52,0,13.08,16,
66,6,2022,70.29,0,11.48,15,
67,7,2022,69.65,0,9.98,14,
68,8,2022,46.18,0,10.59,13,
69,9,2022,39.51,0,12.23,12,
70,10,2022,41.52,0,13.9,13,
71,11,2022,33.14,0,14.44,14,
