Run, ARRAYSIZE, MegaMults
Mult Non-SIMD,  1000,    77.51 
Mult Non-SIMD,  2000,    96.20 
Mult Non-SIMD,  4000,   104.91 
Mult Non-SIMD,  8000,   101.66 
Mult Non-SIMD,  10000,   101.59 
Mult Non-SIMD,  20000,   104.46 
Mult Non-SIMD,  400000,   117.79 
Mult Non-SIMD,  80000,   106.85 
Mult Non-SIMD,  160000,   100.24 
Mult Non-SIMD,  250000,   108.43 
Mult Non-SIMD,  500000,   115.46 
Mult Non-SIMD,  750000,   127.81 
Mult Non-SIMD,  1000000,   129.26 
Mult Non-SIMD,  2000000,   143.69 
Mult Non-SIMD,  4000000,   148.51 
Mult Non-SIMD,  6000000,   149.92 
Mult Non-SIMD,  8000000,   148.87 
Mult Non-SIMD,  10000000,   151.36 
Mult Non-SIMD,  16000000,   149.78 
Mult Non-SIMD,  24000000,   151.39 
Mult Non-SIMD,  32000000,   152.22 
Mult-sum Non-SIMD,  1000,    65.12 
Mult-sum Non-SIMD,  2000,    72.38 
Mult-sum Non-SIMD,  4000,    81.26 
Mult-sum Non-SIMD,  8000,    81.22 
Mult-sum Non-SIMD,  10000,    83.32 
Mult-sum Non-SIMD,  20000,    81.52 
Mult-sum Non-SIMD,  400000,    96.62 
Mult-sum Non-SIMD,  80000,    85.46 
Mult-sum Non-SIMD,  160000,    84.47 
Mult-sum Non-SIMD,  250000,    85.56 
Mult-sum Non-SIMD,  500000,    84.56 
Mult-sum Non-SIMD,  750000,   107.89 
Mult-sum Non-SIMD,  1000000,   107.76 
Mult-sum Non-SIMD,  2000000,   117.66 
Mult-sum Non-SIMD,  4000000,   118.62 
Mult-sum Non-SIMD,  6000000,   121.19 
Mult-sum Non-SIMD,  8000000,   120.90 
Mult-sum Non-SIMD,  10000000,   123.32 
Mult-sum Non-SIMD,  16000000,   123.44 
Mult-sum Non-SIMD,  24000000,   123.64 
Mult-sum Non-SIMD,  32000000,   124.08 
Mult SIMD,  1000,   122.58 
Mult SIMD,  2000,   175.32 
Mult SIMD,  4000,   200.85 
Mult SIMD,  8000,   191.92 
Mult SIMD,  10000,   214.29 
Mult SIMD,  20000,   238.24 
Mult SIMD,  400000,   269.93 
Mult SIMD,  80000,   244.33 
Mult SIMD,  160000,   231.55 
Mult SIMD,  250000,   227.45 
Mult SIMD,  500000,   252.16 
Mult SIMD,  750000,   353.17 
Mult SIMD,  1000000,   333.55 
Mult SIMD,  2000000,   428.71 
Mult SIMD,  4000000,   459.24 
Mult SIMD,  6000000,   483.53 
Mult SIMD,  8000000,   476.70 
Mult SIMD,  10000000,   497.60 
Mult SIMD,  16000000,   497.27 
Mult SIMD,  24000000,   503.03 
Mult SIMD,  32000000,   510.58 
Mult-sum SIMD,  1000,   293.85 
Mult-sum SIMD,  2000,   349.71 
Mult-sum SIMD,  4000,   386.88 
Mult-sum SIMD,  8000,   409.48 
Mult-sum SIMD,  10000,   418.57 
Mult-sum SIMD,  20000,   413.81 
Mult-sum SIMD,  400000,   518.89 
Mult-sum SIMD,  80000,   439.98 
Mult-sum SIMD,  160000,   431.31 
Mult-sum SIMD,  250000,   435.96 
Mult-sum SIMD,  500000,   581.53 
Mult-sum SIMD,  750000,   682.09 
Mult-sum SIMD,  1000000,   740.52 
Mult-sum SIMD,  2000000,   844.68 
Mult-sum SIMD,  4000000,   912.21 
Mult-sum SIMD,  6000000,   931.01 
Mult-sum SIMD,  8000000,   917.73 
Mult-sum SIMD,  10000000,   949.49 
Mult-sum SIMD,  16000000,   975.98 
Mult-sum SIMD,  24000000,   976.62 
Mult-sum SIMD,  32000000,   984.21 
