Run, ARRAYSIZE, MegaMults
Mult Non-SIMD,  1000,   100.00 
Mult Non-SIMD,  2000,    86.96 
Mult Non-SIMD,  4000,   111.11 
Mult Non-SIMD,  8000,    96.39 
Mult Non-SIMD,  10000,    74.07 
Mult Non-SIMD,  20000,   116.96 
Mult Non-SIMD,  400000,   111.76 
Mult Non-SIMD,  80000,   101.52 
Mult Non-SIMD,  160000,   111.03 
Mult Non-SIMD,  250000,   102.21 
Mult Non-SIMD,  500000,   107.71 
Mult Non-SIMD,  750000,   101.19 
Mult Non-SIMD,  1000000,   109.21 
Mult Non-SIMD,  2000000,    86.42 
Mult Non-SIMD,  4000000,    97.30 
Mult Non-SIMD,  6000000,   101.96 
Mult Non-SIMD,  8000000,    89.96 
Mult Non-SIMD,  10000000,   102.10 
Mult Non-SIMD,  16000000,    96.61 
Mult Non-SIMD,  24000000,   102.03 
Mult Non-SIMD,  32000000,   101.66 
Mult-sum Non-SIMD,  1000,   125.00 
Mult-sum Non-SIMD,  2000,   125.00 
Mult-sum Non-SIMD,  4000,   125.00 
Mult-sum Non-SIMD,  8000,   123.08 
Mult-sum Non-SIMD,  10000,   119.05 
Mult-sum Non-SIMD,  20000,   119.76 
Mult-sum Non-SIMD,  400000,   113.22 
Mult-sum Non-SIMD,  80000,    98.89 
Mult-sum Non-SIMD,  160000,    94.56 
Mult-sum Non-SIMD,  250000,    98.27 
Mult-sum Non-SIMD,  500000,    99.30 
Mult-sum Non-SIMD,  750000,    85.19 
Mult-sum Non-SIMD,  1000000,    84.00 
Mult-sum Non-SIMD,  2000000,    94.41 
Mult-sum Non-SIMD,  4000000,   101.39 
Mult-sum Non-SIMD,  6000000,   110.25 
Mult-sum Non-SIMD,  8000000,   110.03 
Mult-sum Non-SIMD,  10000000,   108.47 
Mult-sum Non-SIMD,  16000000,   110.59 
Mult-sum Non-SIMD,  24000000,   114.48 
Mult-sum Non-SIMD,  32000000,   117.49 
Mult SIMD,  1000,   100.00 
Mult SIMD,  2000,   117.65 
Mult SIMD,  4000,   129.03 
Mult SIMD,  8000,   181.82 
Mult SIMD,  10000,   105.26 
Mult SIMD,  20000,   122.70 
Mult SIMD,  400000,   127.06 
Mult SIMD,  80000,   126.98 
Mult SIMD,  160000,   145.06 
Mult SIMD,  250000,   155.38 
Mult SIMD,  500000,   148.54 
Mult SIMD,  750000,   146.46 
Mult SIMD,  1000000,   144.11 
Mult SIMD,  2000000,   143.92 
Mult SIMD,  4000000,   107.09 
Mult SIMD,  6000000,   144.72 
Mult SIMD,  8000000,   158.75 
Mult SIMD,  10000000,   154.78 
Mult SIMD,  16000000,   135.43 
Mult SIMD,  24000000,   159.07 
Mult SIMD,  32000000,   157.32 
Mult-sum SIMD,  1000,   200.00 
Mult-sum SIMD,  2000,    71.43 
Mult-sum SIMD,  4000,   222.22 
Mult-sum SIMD,  8000,   258.06 
Mult-sum SIMD,  10000,   185.18 
Mult-sum SIMD,  20000,   194.17 
Mult-sum SIMD,  400000,   181.16 
Mult-sum SIMD,  80000,   231.88 
Mult-sum SIMD,  160000,   214.19 
Mult-sum SIMD,  250000,   219.68 
Mult-sum SIMD,  500000,   208.51 
Mult-sum SIMD,  750000,   190.07 
Mult-sum SIMD,  1000000,   193.61 
Mult-sum SIMD,  2000000,   166.04 
Mult-sum SIMD,  4000000,   189.12 
Mult-sum SIMD,  6000000,   205.15 
Mult-sum SIMD,  8000000,   196.75 
Mult-sum SIMD,  10000000,   185.05 
Mult-sum SIMD,  16000000,   232.23 
Mult-sum SIMD,  24000000,   218.68 
Mult-sum SIMD,  32000000,   226.37 
