Mode, NKB, LOCAL_SIZE, NUM_WORK_GROUPS, GigaCalcPerSecond
Multiply,	       1,	   8,	       128,	     0.012
Multiply,	       2,	   8,	       256,	     0.039
Multiply,	       4,	   8,	       512,	     0.055
Multiply,	       8,	   8,	      1024,	     0.162
Multiply,	      16,	   8,	      2048,	     0.221
Multiply,	      32,	   8,	      4096,	     0.371
Multiply,	      64,	   8,	      8192,	     0.663
Multiply,	     128,	   8,	     16384,	     0.575
Multiply,	     256,	   8,	     32768,	     1.028
Multiply,	     512,	   8,	     65536,	     1.439
Multiply,	    1024,	   8,	    131072,	     1.983
Multiply,	    2048,	   8,	    262144,	     2.254
Multiply,	    3072,	   8,	    393216,	     2.495
Multiply,	    4096,	   8,	    524288,	     2.532
Multiply,	    6144,	   8,	    786432,	     2.637
Multiply,	    8192,	   8,	   1048576,	     2.669
Multiply,	       1,	  16,	        64,	     0.020
Multiply,	       2,	  16,	       128,	     0.040
Multiply,	       4,	  16,	       256,	     0.081
Multiply,	       8,	  16,	       512,	     0.151
Multiply,	      16,	  16,	      1024,	     0.334
Multiply,	      32,	  16,	      2048,	     0.620
Multiply,	      64,	  16,	      4096,	     1.167
Multiply,	     128,	  16,	      8192,	     0.570
Multiply,	     256,	  16,	     16384,	     0.923
Multiply,	     512,	  16,	     32768,	     1.719
Multiply,	    1024,	  16,	     65536,	     2.543
Multiply,	    2048,	  16,	    131072,	     3.761
Multiply,	    3072,	  16,	    196608,	     4.080
Multiply,	    4096,	  16,	    262144,	     4.181
Multiply,	    6144,	  16,	    393216,	     4.251
Multiply,	    8192,	  16,	    524288,	     4.885
Multiply,	       1,	  32,	        32,	     0.019
Multiply,	       2,	  32,	        64,	     0.028
Multiply,	       4,	  32,	       128,	     0.075
Multiply,	       8,	  32,	       256,	     0.094
Multiply,	      16,	  32,	       512,	     0.199
Multiply,	      32,	  32,	      1024,	     0.522
Multiply,	      64,	  32,	      2048,	     1.286
Multiply,	     128,	  32,	      4096,	     0.619
Multiply,	     256,	  32,	      8192,	     0.886
Multiply,	     512,	  32,	     16384,	     2.207
Multiply,	    1024,	  32,	     32768,	     3.703
Multiply,	    2048,	  32,	     65536,	     5.230
