Shift,Serial,OpenMP,SIMD
0,1148676.250,1148676.250,1148676.250
1, 53185.105, 53185.105, 53185.242
2, 67181.578, 67181.578, 67181.469
3, 52135.949, 52135.949, 52136.082
4, 45437.363, 45437.363, 45437.664
5, 53552.266, 53552.266, 53552.438
6, 69232.055, 69232.055, 69232.234
7, 60377.934, 60377.934, 60377.766
8, 52751.641, 52751.641, 52751.754
9, 64942.863, 64942.863, 64942.711
10, 57681.625, 57681.625, 57681.293
11, 55733.609, 55733.609, 55733.254
12, 64919.988, 64919.988, 64919.883
13, 55214.133, 55214.133, 55214.195
14, 66260.117, 66260.117, 66260.008
15, 53664.203, 53664.203, 53664.297
16, 61101.023, 61101.023, 61101.141
17, 60268.398, 60268.398, 60267.844
18, 56868.547, 56868.547, 56868.688
19, 58167.164, 58167.164, 58167.184
20, 48982.270, 48982.270, 48982.305
21, 50313.113, 50313.113, 50313.086
22, 51926.375, 51926.375, 51926.484
23, 55920.902, 55920.902, 55921.031
24, 40470.539, 40470.539, 40470.484
25, 45473.609, 45473.609, 45473.703
26, 41750.410, 41750.410, 41750.492
27, 48448.531, 48448.531, 48448.328
28, 34757.070, 34757.070, 34756.855
29, 56272.406, 56272.406, 56272.422
30, 40708.738, 40708.738, 40708.664
31, 28854.838, 28854.838, 28855.000
32, 30106.697, 30106.697, 30106.906
33, 29928.174, 29928.174, 29928.064
34, 39107.160, 39107.160, 39107.309
35, 29363.531, 29363.531, 29363.660
36, 20468.742, 20468.742, 20468.703
37, 39045.035, 39045.035, 39045.289
38, 21845.316, 21845.316, 21845.371
39, 21911.533, 21911.533, 21911.561
40, 23962.371, 23962.371, 23962.303
41, 22824.951, 22824.951, 22824.941
42, 24288.289, 24288.289, 24288.230
43, 24260.215, 24260.215, 24260.250
44, 19128.314, 19128.314, 19128.312
45, 11907.768, 11907.768, 11907.781
46, 18085.771, 18085.771, 18085.828
47, 13963.747, 13963.747, 13963.668
48, 23184.672, 23184.672, 23184.656
49, 15028.032, 15028.032, 15028.031
50, 22688.102, 22688.102, 22688.162
51,   881.544,   881.544,   881.530
52,  6230.131,  6230.131,  6230.127
53, -1860.703, -1860.703, -1860.718
54,  2759.430,  2759.430,  2759.431
55, -1197.398, -1197.398, -1197.411
56,-11174.791,-11174.791,-11174.786
57,-11476.468,-11476.468,-11476.417
58,  -512.818,  -512.818,  -512.822
59,-19492.836,-19492.836,-19492.781
60, -6232.023, -6232.023, -6232.025
61,-12365.060,-12365.060,-12365.043
62,-12251.157,-12251.157,-12251.150
